,الرقم,التقييم,عدد المقيمين,المساحة,اسم العقار,الحي,سعر الليلة,المدينة,التصنيف
0,0,10.0,7,40,استديو بسرير ماستر وجلسة,حي العزيزية,250,العلا,استديو
1,1,9.2,6,3000,استديو بسريرين فردية وبأثاث بسيط,العذيب,280,العلا,استديو
2,2,10.0,43,1000,شقة بغرفة معيشة وغرفتين نوم,حي العزيزية,400,العلا,شقة
3,3,9.4,4,400,استراحة بصالة جلوس وغرفتين نوم,حي المعتدل,799,العلا,استراحة
4,4,9.6,29,3000,شقة بغرفة جلوس وغرفة نوم,جنوب المستشفى,550,العلا,شقة
5,5,0.0,0,3000,غرفة داخل شقة مشتركة للنساء فقط,حي ساق,240,العلا,شقة
6,6,8.7,3,1000,شقة بصالة وغرفتين نوم,العذيب,350,العلا,شقة
7,7,9.6,14,15000,شقة بصالة و غرفة نوم,حي العزيزية,300,العلا,شقة
8,8,10.0,4,500,استراحة بمجلس وفناء خارجي,العذيب,650,العلا,استراحة
9,9,10.0,3,30,استديو بسريرين فردية وبأثاث بسيط,حي العزيزية,200,العلا,استديو
10,10,9.8,40,3000,فيلا بغرفتين نوم و غرفة جلوس,مخطط الميدان السكني,800,العلا,فيلا
11,11,9.7,15,3000,مخيم ببيت شعر وجلسة خارجية,العذيب,600,العلا,مخيم
12,12,9.2,6,3000,شقة بغرفة نوم وصالة,العذيب,300,العلا,شقة
13,13,0.0,0,1000,شقة بغرفة جلوس وغرفة نوم,حي صدر الغربية,410,العلا,شقة
14,14,0.0,0,3000,شقة بغرفة نوم وصالة,الحجر,440,العلا,شقة
15,15,8.1,4,16,استديو بأثاث مريح وبسيط,حي العلا,300,العلا,استديو
16,16,0.0,0,3000,شقة بغرفة جلوس وغرفتين نوم,حي العزيزية,355,العلا,شقة
17,17,9.1,29,15000,غرفة بأثاث بسيط ومريح,حي العزيزية,250,العلا,شقة
18,18,0.0,0,40,شقة بغرفة نوم مطلة على المزرعة,حي صدر الغربية,510,العلا,شقة
19,19,9.6,33,3000,شقة أنيقة بصالة وغرفتين نوم,حي العزيزية,400,العلا,شقة
20,20,9.6,3,3000,شقة بصالة وبأثاث مريح وبسيط,حي الصخيرات,400,العلا,شقة
21,21,0.0,0,25,استديو باثاث مريح وبسيط,حي العلا,540,العلا,استديو
22,22,0.0,0,20,استديو بسريرين فردية وبأثاث بسيط,حي العلا,540,العلا,استديو
